statusId | label,,
516|Acc Gyro,,
517|Acc Gyro,,
518|Acc Gyro,,
519|Acc Gyro,,
520|Acc Gyro,,
521|Acc Gyro,,
522|Acc Gyro,,
523|Acc Gyro,,
524|Acc Gyro,,
525|Acc Gyro,,
526|Acc Gyro,,
527|Acc Gyro,,
statusId|sensorName|value|timestamp,,
516|MPU6500 Acceleration Sensor|[-0.65242,2.0853498,9.299079]|1500643337822
516|MPU6500 Gyroscope Sensor|[0.03089267,0.01917476,-0.004261058]|1500643337822
516|MPU6500 Acceleration Sensor|[-0.272939,1.887828,9.345766]|1500643337826
516|MPU6500 Gyroscope Sensor|[0.025566347,0.015978966,-0.0063915867]|1500643337826
516|MPU6500 Acceleration Sensor|[-0.45489833,2.030283,9.840169]|1500643337830
516|MPU6500 Gyroscope Sensor|[0.026631612,0.008522116,-0.0063915867]|1500643337831
516|MPU6500 Acceleration Sensor|[-0.5758055,2.1703439,9.716867]|1500643337836
516|MPU6500 Gyroscope Sensor|[0.046871636,0.018109497,-0.0031957934]|1500643337836
516|MPU6500 Acceleration Sensor|[-0.6440403,1.8255788,9.709685]|1500643337841
516|MPU6500 Gyroscope Sensor|[0.05006743,0.011717909,-0.004261058]|1500643337841
516|MPU6500 Acceleration Sensor|[-0.6356605,1.7178397,9.510966]|1500643337847
516|MPU6500 Gyroscope Sensor|[0.034088463,0.014913702,-0.0053263223]|1500643337847
516|MPU6500 Acceleration Sensor|[-0.50876784,1.8818425,9.615114]|1500643337853
516|MPU6500 Gyroscope Sensor|[0.020240024,0.008522116,-0.008522116]|1500643337853
516|MPU6500 Acceleration Sensor|[-0.91817635,2.0266917,9.583989]|1500643337856
516|MPU6500 Gyroscope Sensor|[0.024501082,0.004261058,-0.0063915867]|1500643337856
516|MPU6500 Acceleration Sensor|[-1.0833763,2.099715,9.709685]|1500643337862
516|MPU6500 Gyroscope Sensor|[0.035153728,0.005326322,-0.0010652645]|1500643337862
516|MPU6500 Acceleration Sensor|[-0.7589619,1.9572599,9.129091]|1500643337867
516|MPU6500 Gyroscope Sensor|[0.049002163,-0.008522116,-0.004261058]|1500643337867
516|MPU6500 Acceleration Sensor|[-0.7589619,1.9572599,9.129091]|1500643337868
516|MPU6500 Gyroscope Sensor|[0.049002163,-0.008522116,-0.004261058]|1500643337868
516|MPU6500 Acceleration Sensor|[-0.82001406,1.934515,8.878897]|1500643337871
