statusId | label
533|Acc Gyro
534|Acc Gyro
535|Acc Gyro
536|Acc Gyro
537|Acc Gyro
538|Acc Gyro
539|Acc Gyro
540|Acc Gyro
541|Acc Gyro
542|Acc Gyro
543|Acc Gyro
544|Acc Gyro
545|Acc Gyro
546|Acc Gyro
547|Acc Gyro
548|Acc Gyro
549|Acc Gyro
550|Acc Gyro
551|Acc Gyro
552|Acc Gyro
553|Acc Gyro
554|Acc Gyro
555|Acc Gyro
556|Acc Gyro
557|Acc Gyro
558|Acc Gyro
559|Acc Gyro
560|Acc Gyro
561|Acc Gyro
562|Acc Gyro
563|Acc Gyro
564|Acc Gyro
565|Acc Gyro
566|Acc Gyro
567|Acc Gyro
568|Acc Gyro
569|Acc Gyro
570|Acc Gyro
statusId|sensorName|value|timestamp
533|MPU6500 Gyroscope Sensor|[-0.08628642,-0.010652645,0.046871636]|1500663731808
533|MPU6500 Acceleration Sensor|[-0.90261406,2.5318682,9.006987]|1500663731812
533|MPU6500 Gyroscope Sensor|[-0.07563378,-0.0127831735,0.036218993]|1500663731812
533|MPU6500 Acceleration Sensor|[-0.82240826,2.3786395,9.090784]|1500663731819
533|MPU6500 Gyroscope Sensor|[-0.07243799,-0.01917476,0.027696876]|1500663731819
533|MPU6500 Acceleration Sensor|[-0.973243,2.4480712,8.9519205]|1500663731823
533|MPU6500 Gyroscope Sensor|[-0.0777643,-0.027696876,0.018109497]|1500663731823
533|MPU6500 Acceleration Sensor|[-0.6691794,2.219425,9.136273]|1500663731829
533|MPU6500 Gyroscope Sensor|[-0.07989483,-0.034088463,0.0031957934]|1500663731829
533|MPU6500 Acceleration Sensor|[-0.7553706,1.9045875,9.321824]|1500663731832
533|MPU6500 Gyroscope Sensor|[-0.080960095,-0.039414786,-0.01917476]|1500663731833
533|MPU6500 Acceleration Sensor|[-0.89064306,1.3934253,9.240421]|1500663731838
533|MPU6500 Gyroscope Sensor|[-0.07669904,-0.04580637,-0.035153728]|1500663731838
533|MPU6500 Acceleration Sensor|[-1.6783354,1.4927847,9.123106]|1500663731844
533|MPU6500 Gyroscope Sensor|[-0.083090626,-0.051132694,-0.040480047]|1500663731844
533|MPU6500 Acceleration Sensor|[-1.70946,1.6603789,9.239224]|1500663731848
533|MPU6500 Gyroscope Sensor|[-0.083090626,-0.05752428,-0.036218993]|1500663731848
533|MPU6500 Acceleration Sensor|[-1.3551182,1.9045875,8.710106]|1500663731853
533|MPU6500 Gyroscope Sensor|[-0.08522116,-0.060720075,-0.03195793]|1500663731853
533|MPU6500 Acceleration Sensor|[-1.0115502,1.9764135,9.022549]|1500663731858
533|MPU6500 Gyroscope Sensor|[-0.098004326,-0.05965481,-0.02130529]|1500663731859
533|MPU6500 Acceleration Sensor|[-0.65242,1.8411411,8.425196]|1500663731864
533|MPU6500 Gyroscope Sensor|[-0.10546118,-0.054328486,-0.013848438]|1500663731863
533|MPU6500 Acceleration Sensor|[-0.65242,1.8411411,8.425196]|1500663731865
533|MPU6500 Gyroscope Sensor|[-0.10546118,-0.054328486,-0.013848438]|1500663731865
533|MPU6500 Acceleration Sensor|[0.023942016,1.5167267,8.532935]|1500663731868
533|MPU6500 Gyroscope Sensor|[-0.11930962,-0.0479369,-0.01917476]|1500663731868
533|MPU6500 Acceleration Sensor|[-0.09935937,1.733402,8.378509]|1500663731873
533|MPU6500 Gyroscope Sensor|[-0.12250541,-0.043675844,-0.037284255]|1500663731874
533|MPU6500 Acceleration Sensor|[-0.6631939,2.1440077,8.549694]|1500663731879
533|MPU6500 Gyroscope Sensor|[-0.12250541,-0.043675844,-0.046871636]|1500663731878
533|MPU6500 Acceleration Sensor|[-1.0295067,2.3774424,8.611943]|1500663731884
533|MPU6500 Gyroscope Sensor|[-0.11717909,-0.046871636,-0.040480047]|1500663731884
533|MPU6500 Acceleration Sensor|[-0.664391,2.4277205,9.465476]|1500663731888
533|MPU6500 Gyroscope Sensor|[-0.10546118,-0.049002163,-0.014913702]|1500663731889
533|MPU6500 Acceleration Sensor|[-0.2873042,2.2780828,9.528923]|1500663731893
533|MPU6500 Gyroscope Sensor|[-0.08948222,-0.049002163,0.004261058]|1500663731892
533|MPU6500 Acceleration Sensor|[-0.51714754,1.7381904,9.288305]|1500663731898
533|MPU6500 Gyroscope Sensor|[-0.08841695,-0.05006743,0.01917476]|1500663731898
533|MPU6500 Acceleration Sensor|[-0.50397944,1.3670892,8.72088]|1500663731902
533|MPU6500 Gyroscope Sensor|[-0.09374327,-0.051132694,0.033023197]|1500663731902
533|MPU6500 Acceleration Sensor|[-0.4237737,1.033098,8.790312]|1500663731907
533|MPU6500 Gyroscope Sensor|[-0.10546118,-0.060720075,0.039414786]|1500663731907
533|MPU6500 Acceleration Sensor|[-0.62847793,0.90261406,9.119514]|1500663731913
533|MPU6500 Gyroscope Sensor|[-0.10439592,-0.06498113,0.040480047]|1500663731913
533|MPU6500 Acceleration Sensor|[-0.35553896,1.0342951,9.276335]|1500663731918
533|MPU6500 Gyroscope Sensor|[-0.094808534,-0.07137272,0.037284255]|1500663731918
533|MPU6500 Acceleration Sensor|[-0.4405331,1.1468226,9.006987]|1500663731923
533|MPU6500 Gyroscope Sensor|[-0.094808534,-0.068176925,0.03195793]|1500663731922
533|MPU6500 Acceleration Sensor|[-0.80325466,1.353921,8.858546]|1500663731927
533|MPU6500 Gyroscope Sensor|[-0.10333065,-0.06711166,0.03089267]|1500663731927
533|MPU6500 Acceleration Sensor|[-0.6356605,1.5310919,9.021352]|1500663731933
